id,species,genus,family,order,class,phylum,accession
MitoFish_mf_024649,Gymnogobius urotaenia,Gymnogobius,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024649
MitoFish_mf_024650,Schismatogobius sp. CBM:ZF:12245,Schismatogobius,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024650
MitoFish_mf_024651,Papuligobius ocellatus,Papuligobius,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024651
MitoFish_mf_024653,Brachygobius xanthomelas,Brachygobius,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024653
MitoFish_mf_024654,Trimma sp. CBM DNA No. 2008-025,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024654
MitoFish_mf_024655,Trimma benjamini,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024655
MitoFish_mf_024656,Trimma benjamini,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024656
MitoFish_mf_024657,Trimma caesiura,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024657
MitoFish_mf_024658,Trimma cana,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024658
MitoFish_mf_024659,Trimma sp. CBM DNA No. 2008-031,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024659
MitoFish_mf_024660,Trimma emeryi,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024660
MitoFish_mf_024661,Trimma fangi,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024661
MitoFish_mf_024662,Trimma flammeum,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024662
MitoFish_mf_024663,Trimma fucatum,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024663
MitoFish_mf_024664,Trimma gigantum,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024664
MitoFish_mf_024665,Trimma lantana,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024665
MitoFish_mf_024666,Trimma milta,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024666
MitoFish_mf_024667,Trimma necopinum,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024667
MitoFish_mf_024668,Trimma okinawae,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024668
MitoFish_mf_024669,Trimma preclarum,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024669
MitoFish_mf_024670,Trimma randalli,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024670
MitoFish_mf_024671,Trimma sp. CBM DNA No. 2008-053,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024671
MitoFish_mf_024672,Trimma stobbsi,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024672
